,0
0,63511
1,63511
2,63511
3,63511
4,63295
5,63295
6,63295
7,63547
8,63547
9,64177
10,64177
11,64177
12,64177
13,64177
14,64267
15,64267
16,64267
17,64267
18,64267
19,64951
20,64951
21,64951
22,65221
23,65221
24,65221
25,65221
26,65221
27,65221
28,65221
29,65221
30,64879
31,64879
32,64879
33,64879
34,64879
35,64915
36,65041
37,65041
38,65041
39,65167
40,65167
41,65167
42,65167
43,65167
44,65203
45,65149
46,65293
47,65383
48,65383
49,65383
50,65383
51,65383
52,65383
53,65653
54,65653
55,65653
56,65653
57,65653
58,65455
59,65095
60,65095
61,65095
62,65095
63,65095
64,65095
65,65095
66,65095
67,65095
68,65095
69,65095
70,65095
71,65095
72,65095
73,65095
74,65239
75,65239
76,65239
77,65239
78,65239
79,65617
80,65617
81,65617
82,65779
83,65221
84,65221
85,65221
86,65221
87,65221
88,65221
89,65221
90,64915
91,64915
92,64915
93,64915
94,64951
95,64951
96,64951
97,64951
98,64951
99,64951
100,64951
101,64951
102,65185
103,65185
104,65149
105,65149
106,65131
107,65131
108,65113
109,65113
110,65113
111,65131
112,65131
113,65239
114,65239
115,65239
116,65239
117,65221
118,65419
119,65419
120,65419
121,65419
122,65005
123,65095
124,65095
125,65095
126,65329
127,65329
128,65329
129,65329
130,65329
131,65329
132,65329
133,65221
134,65023
135,65023
136,65023
137,65131
138,65041
139,65041
140,65041
141,65041
142,65041
143,65185
144,65311
145,65419
146,65527
147,65527
148,65527
149,65527
150,65491
151,65491
152,65491
153,65527
154,65527
155,65527
156,65527
157,65527
158,65527
159,65527
160,65725
161,65725
162,65725
163,65725
164,65725
165,65725
166,65725
167,65725
168,65725
169,65725
170,65725
171,65725
172,65725
173,65545
174,65977
175,65977
176,65977
177,66013
178,66157
179,66157
180,66157
181,66157
182,66157
183,66337
184,66337
185,66031
186,66031
187,66031
188,66877
189,66913
190,67075
191,67381
192,67381
193,67399
194,67291
195,67039
196,67039
197,67039
198,67039
