,0
0,65086
1,59839
2,62035
3,70909
4,63718
5,66967
6,71944
7,62710
8,63079
9,62908
10,66472
11,68740
12,59407
13,63268
14,59659
15,60055
16,61108
17,71782
18,60424
19,63493
20,71062
21,60190
22,61117
23,61522
24,62926
25,65734
26,75301
27,63079
28,69892
29,64213
30,72430
31,65995
32,62431
33,61243
34,65320
35,63232
36,61396
37,64537
38,66517
39,62800
40,60370
41,60973
42,75247
43,63745
44,61657
45,68074
46,60802
47,61189
48,70774
49,67408
50,67750
51,64501
52,72916
53,67849
54,60298
55,69667
56,65356
57,74356
58,63601
59,67120
60,68209
61,64969
62,65815
63,74464
64,76642
65,64735
66,59794
67,59686
68,62629
69,65383
70,60802
71,60919
72,61270
73,64483
74,63232
75,66157
76,61315
77,70180
78,74167
79,62062
80,69010
81,60820
82,60622
83,58831
84,61864
85,62962
86,60469
87,61423
88,63340
89,63349
90,66391
91,59236
92,64276
93,68533
94,60802
95,67723
96,64861
97,69604
98,68173
99,60658
100,68938
101,59470
102,77515
103,62719
104,60838
105,62062
106,60343
107,59542
108,72493
109,61792
110,60748
111,68020
112,59200
113,74662
114,74653
115,63556
116,64366
117,61243
118,69730
119,66634
120,60010
121,62665
122,61603
123,67030
124,63034
125,59974
126,66697
127,77821
128,60100
129,74194
130,62314
131,64645
132,61225
133,68677
134,60388
135,62170
136,66526
137,60955
138,69649
139,61099
140,62269
141,59866
142,59956
143,68731
144,68182
145,76831
146,69748
147,64762
148,69451
149,61495
150,62602
151,71746
152,62737
153,60595
154,62674
155,72466
156,61216
157,60784
158,60442
159,67624
160,65662
161,60433
162,63322
163,72160
164,60406
165,64123
166,63898
167,60208
168,59371
169,75364
170,61108
171,66454
172,60937
173,62962
174,70234
175,75409
176,71116
177,59191
178,68677
179,62467
180,74428
181,63970
182,61099
183,60595
184,73465
185,59605
186,65077
187,64789
188,59893
189,61306
190,75922
191,69937
192,59641
193,61594
194,60685
195,61432
196,63340
197,67264
198,61225
199,61153
200,70387
201,63034
202,61036
203,64204
204,61405
205,61306
206,60424
207,66922
208,65212
209,65347
210,60118
211,60091
212,63358
213,62980
214,64780
215,64060
216,59632
217,64906
218,59524
219,60406
220,60460
221,64771
222,62278
223,59614
224,63691
225,61540
226,63493
227,65338
228,60622
229,61495
230,60622
231,71341
232,65086
233,59326
234,62017
235,69361
236,68983
237,59308
238,73150
239,60613
240,73897
241,62296
242,74743
243,67696
244,71071
245,61288
246,78127
247,66652
248,69028
249,60910
250,60874
251,62458
252,69730
253,62368
254,66625
255,65563
256,66229
257,60487
258,74581
259,66301
260,59992
261,60640
262,73456
263,76174
264,75967
265,60415
266,65914
267,61396
268,76084
269,67660
270,59956
271,67228
272,59695
273,67192
274,65869
275,66796
276,60460
277,60586
278,61036
279,63835
280,68803
281,65590
282,63691
283,61360
284,65113
285,66922
286,71350
287,61207
288,60505
289,62008
290,60973
291,62161
292,72223
293,64114
294,68578
295,60622
296,61342
297,68263
298,61801
299,74122
300,66103
301,74869
302,60091
303,62521
304,73168
305,74464
306,67255
307,59587
308,61666
309,61099
310,68164
311,63916
312,59596
313,75355
314,67057
315,72898
316,59065
317,63097
318,74950
319,62386
320,66652
321,61432
322,64573
323,59794
324,71971
325,62656
326,60487
327,59902
328,60244
329,63088
330,63106
331,61567
332,60451
333,71152
334,72664
335,63502
336,60100
337,73483
338,60937
339,65779
340,70378
341,65968
342,62665
343,62125
344,66994
345,62098
346,73276
347,62116
348,61711
349,66913
350,61180
351,62629
352,65419
353,71143
354,67552
355,65059
356,67912
357,74500
358,60190
359,62125
360,75274
361,66679
362,65644
363,60523
364,63907
365,72286
366,74527
367,73753
368,71404
369,67966
370,61153
371,59767
372,61945
373,77713
374,62233
375,63547
376,68758
377,61153
378,73375
379,64114
380,60487
381,60973
382,60325
383,70009
384,73501
385,62503
386,61738
387,61171
388,67750
389,71503
390,74608
391,61585
392,70927
393,71683
394,71404
395,61378
396,65221
397,68002
398,63718
399,60460
400,66364
401,62188
402,73375
403,72610
404,63394
405,61054
406,61270
407,60613
408,67408
409,75373
410,63205
411,60496
412,59938
413,60343
414,61630
415,61747
416,77533
417,61630
418,60685
419,60316
420,66490
421,69397
422,76156
423,77605
424,75652
425,63583
426,62377
427,69802
428,61063
429,72241
430,66841
431,61225
432,62620
433,62998
434,59686
435,73987
436,63124
437,67120
438,66418
439,60919
440,66805
441,60964
442,70360
443,60667
444,62278
445,73726
446,65149
447,65824
448,60802
449,68209
450,61063
451,64474
452,60631
453,63034
454,73501
455,65401
456,61000
457,61927
458,63691
459,62575
460,67633
461,69442
462,61504
463,67174
464,60100
465,66607
466,59218
467,61702
468,67975
469,68011
470,60541
471,60991
472,62764
473,72691
474,60802
475,61198
476,65077
477,63016
478,62071
479,61765
480,62809
481,60424
482,63430
483,68839
484,65950
485,65239
486,60496
487,61594
488,60226
489,59290
490,59740
491,66013
492,60469
493,60271
494,68434
495,64132
496,60136
497,63664
498,60766
499,65527
500,62971
501,65257
502,59884
503,63097
504,64672
505,62161
506,59758
507,62737
508,75310
509,60244
510,73600
511,60838
512,71080
513,68362
514,60568
515,61144
516,59866
517,69298
518,65671
519,64456
520,74167
521,72889
522,69514
523,61684
524,63151
525,71044
526,60379
527,60973
528,61522
529,61432
530,67120
531,71953
532,73690
533,61990
534,60226
535,76984
536,76138
537,67615
538,59407
539,76003
540,59578
541,63313
542,59668
543,61675
544,71656
545,62116
546,67786
547,60424
548,65671
549,70540
550,60091
551,76984
552,61549
553,59200
554,73303
555,67408
556,63664
557,76444
558,62647
559,71143
560,68353
561,61216
562,61486
563,66130
564,60505
565,64879
566,63700
567,65860
568,74734
569,71143
570,74473
571,58687
572,61900
573,64537
574,60451
575,62242
576,61324
577,62935
578,69658
579,64771
580,61477
581,63934
582,62161
583,62872
584,60847
585,72025
586,69316
587,69325
588,75175
589,72412
590,65680
591,61747
592,68614
593,67822
594,65365
595,59524
596,73780
597,65878
598,76147
599,60775
600,64744
601,73519
602,62800
603,60100
604,63664
605,62224
606,74905
607,60586
608,59992
609,62926
610,62566
611,71143
612,62422
613,62899
614,60748
615,67435
616,64555
617,68623
618,63079
619,62854
620,59677
621,63898
622,63367
623,63709
624,61981
625,67633
626,63583
627,66139
628,60640
629,63115
630,59587
631,60622
632,65797
633,61495
634,62656
635,60118
636,60136
637,78964
638,70315
639,60811
640,66913
641,59506
642,72655
643,63835
644,61468
645,60208
646,71872
647,62197
648,60406
649,70702
650,65077
651,75490
652,62413
653,61414
654,65482
655,75580
656,60982
657,59758
658,64753
659,61567
660,69226
661,69919
662,75391
663,74689
664,64843
665,63115
666,64834
667,61333
668,67093
669,60442
670,60874
671,61621
672,61315
673,62467
674,67219
675,60208
676,62548
677,62269
678,70243
679,68002
680,65860
681,64501
682,60424
683,59812
684,65311
685,62467
686,60541
687,63646
688,72214
689,60181
690,60775
691,61261
692,76570
693,61783
694,61315
695,60631
696,64753
697,72484
698,60973
699,60361
700,60379
701,74662
702,62512
703,62503
704,71962
705,66301
706,67894
707,74680
708,74473
709,59758
710,62845
711,72799
712,72250
713,65761
714,60604
715,74815
716,69568
717,67120
718,70711
719,64258
720,64699
721,61270
722,61270
723,72106
724,58777
725,67669
726,65158
727,65554
728,66850
729,61558
730,73771
731,72700
732,74482
733,63511
734,61585
735,61522
736,71386
737,60703
738,60316
739,70450
740,60766
741,69226
742,70360
743,77380
744,60703
745,60289
746,60064
747,60568
748,70828
749,74257
750,60442
751,60586
752,62287
753,66391
754,62152
755,72727
756,63889
757,63520
758,63007
759,61756
760,60028
761,59641
762,66868
763,65698
764,65833
765,61036
766,61000
767,63331
768,63403
769,60370
770,58759
771,70018
772,68965
773,61612
774,65563
775,61909
776,60532
777,74788
778,67813
779,63907
780,61963
781,59857
782,63313
783,65752
784,78019
785,64438
786,59830
787,61360
788,68920
789,64591
790,64555
791,60883
792,59578
793,68029
794,62152
795,73825
796,61009
797,77263
798,61954
799,63448
800,73078
801,65455
802,64366
803,73834
804,69100
805,72835
806,61081
807,62143
808,69055
809,60910
810,61315
811,63160
