,0
0,46213
1,46159
2,46159
3,46195
4,46429
5,46051
6,46060
7,45997
8,46204
9,46096
10,46681
11,46024
12,46168
13,45889
14,46258
15,45790
16,46060
17,46267
18,45844
19,46132
20,46042
21,46141
22,46186
23,46186
24,46402
25,46006
26,46060
27,45979
28,46789
29,46042
30,46024
31,46132
32,46060
33,46384
34,45943
35,46177
36,46096
37,46060
38,45934
39,45790
40,46420
41,45808
42,46177
43,46231
44,45970
45,45970
46,46267
47,45970
48,46078
49,45970
50,46033
51,46330
52,45880
53,46051
54,46087
55,45916
56,46240
57,46024
58,46591
59,45817
60,46321
61,45700
62,45934
63,46159
64,45988
65,46258
66,46492
67,46096
68,46411
69,46177
70,46321
71,46132
72,45826
73,45970
74,46168
75,45844
76,46105
77,46015
78,46042
79,46114
80,46087
81,46141
82,46060
83,46042
84,46240
85,46033
86,45700
87,45934
88,46177
89,46240
90,46690
91,46357
92,45844
93,46240
94,46186
95,46123
96,46411
97,46375
98,46024
99,45790
100,46582
101,46267
102,46357
103,46339
104,46051
105,45898
106,46096
107,45934
108,46096
109,46312
110,46501
111,45754
112,46330
113,45916
114,45790
115,46213
116,46717
117,46384
118,46114
119,45943
120,46132
121,46096
122,46024
123,46231
124,46186
125,46078
126,46555
127,45934
128,46132
129,46132
130,46033
131,45862
132,46159
133,46195
134,45988
135,45916
136,46285
137,46240
138,45970
139,46240
140,46024
141,46033
142,46249
143,45979
144,45988
145,46132
146,46294
147,45952
148,46177
149,46366
150,46123
151,45898
152,45988
153,46258
154,45997
155,46141
156,46267
157,46123
158,46168
159,46258
160,46096
161,46303
162,45970
163,45943
164,46105
165,46042
166,46267
167,46663
168,45772
169,45880
170,46150
171,45988
172,46069
173,46078
174,46096
175,46285
176,45925
177,45988
178,46519
179,46006
180,45952
181,46096
182,46150
183,46357
184,45772
185,45898
186,46231
187,46366
188,46159
189,46402
190,45988
191,46339
192,45844
193,46303
194,46267
195,46078
196,46105
197,46240
198,45754
199,46123
200,46249
201,45916
202,45844
203,46105
204,45790
205,46249
206,46060
207,46006
208,46249
209,46114
210,46042
211,46078
212,45988
213,45988
214,46312
215,46501
216,46132
217,46150
218,46231
219,45871
220,46483
221,45934
222,46213
223,46231
224,45898
225,46564
226,46087
227,46249
228,46087
229,46168
230,45916
231,46105
232,46276
233,46249
234,46096
235,46132
236,45943
237,46132
238,45844
239,46132
240,45826
241,46375
242,46006
243,46375
244,46321
245,46321
246,46348
247,46321
248,46114
249,46258
250,46006
251,46474
252,46060
253,46375
254,46420
255,45934
256,45817
257,46114
258,46114
259,45934
260,46132
261,46078
262,46429
263,46087
264,46114
265,46294
266,45979
267,45943
268,45718
269,46024
270,46312
271,46285
272,46483
273,46015
274,45934
275,46114
276,46204
277,46033
278,46258
279,45862
280,46276
281,45862
282,46627
283,46330
284,46429
285,46420
286,46060
287,46015
288,45844
289,46150
290,46015
291,46375
292,45934
293,45754
294,45844
295,45862
296,46285
297,46537
298,46249
299,46249
300,45880
301,46411
302,46051
303,46312
304,46042
305,46024
306,46096
307,46366
308,46141
309,46033
310,45988
311,46015
312,46051
313,46096
314,45988
315,46384
316,45943
317,46285
318,46168
319,45790
320,46204
321,46042
322,46006
323,46285
324,46222
325,45700
326,45997
327,46663
328,46105
329,46249
330,46402
331,45763
332,46024
333,45898
334,46555
335,46276
336,46114
337,46078
338,46276
339,45844
340,45916
341,45952
342,45916
343,45934
344,46447
345,46276
346,46042
347,46042
348,46168
349,46294
350,46060
351,46078
352,45916
353,45934
354,46150
355,46006
356,45979
357,46456
358,46195
359,45979
360,45988
361,46168
362,45961
363,46069
364,45979
365,46114
366,45970
367,45853
368,45952
369,46024
370,46420
371,46528
372,46150
373,46429
374,46006
375,46204
376,46249
377,46420
378,46366
379,46681
380,46168
381,46294
