,0
0,44197
1,44089
2,44323
3,44305
4,44197
5,44197
6,44287
7,44089
8,44089
9,44161
10,44251
11,44917
12,44143
13,43981
14,43981
15,44107
16,44521
17,43981
18,44359
19,44053
20,44053
21,44071
22,44161
23,44503
24,44287
25,44161
26,44269
27,44161
28,44413
29,44413
30,44125
31,44143
32,44107
33,44143
34,44233
35,44071
36,44053
37,44035
38,44143
39,44323
40,44107
41,44107
42,44035
43,44143
44,44053
45,44071
46,44053
47,44251
48,44233
49,43999
50,44125
51,44629
52,44323
53,44107
54,44989
55,44197
56,44377
57,44179
58,44125
59,44179
60,44233
61,44143
62,44107
63,43963
64,44143
65,44215
66,44395
67,44035
68,44197
69,44305
70,44215
71,44161
72,44035
73,44233
74,44071
75,44161
76,44575
77,43981
78,43963
79,44107
80,44575
81,44395
82,44233
83,44071
84,44287
85,44503
86,44125
87,44251
88,44125
89,44215
90,44233
91,44161
92,44017
93,44287
94,44161
95,44089
96,44323
97,44251
98,44377
99,44269
100,44071
101,44017
102,44269
103,44287
104,44449
105,44107
106,44161
107,44089
108,44161
109,44215
110,44233
111,44125
112,43981
113,44431
114,44125
115,44035
116,44179
117,44161
118,44593
119,44161
120,44161
121,44161
122,44179
123,44053
124,44197
125,44071
126,44269
127,44107
128,44197
129,44251
130,44089
131,44215
132,43999
133,44035
134,44386
135,44215
136,44233
137,44161
138,44143
139,44215
140,44179
141,44233
142,44278
143,44107
144,44161
145,44179
146,44107
147,44143
148,44107
149,44233
150,44089
151,44161
152,44377
153,44305
154,44053
155,44107
156,44215
157,44125
158,44305
159,44089
160,44017
161,44143
162,44035
163,44449
164,44143
165,44125
166,44107
167,43981
168,44017
169,44323
170,44107
171,44125
172,44233
173,44215
174,44305
175,44197
176,44125
177,44143
178,44269
179,44071
180,44089
181,44053
182,44467
183,44071
184,44359
185,44233
186,44251
187,44089
188,44197
189,44233
190,45052
191,44305
192,44269
193,44143
194,44395
195,44107
196,44161
197,44359
198,44413
199,44125
200,44161
201,44287
202,44071
203,44251
204,44377
205,44251
206,44125
207,44053
208,44125
209,44071
210,44197
211,45079
212,44071
213,44107
214,44197
215,44233
216,44089
217,44125
218,44107
219,44089
220,44197
221,44035
222,44017
223,44197
224,43999
225,44179
226,44197
227,44017
228,44161
229,44269
230,44377
231,44125
232,44107
233,44143
234,44233
235,44035
236,44179
237,44143
238,44143
239,44125
240,44323
241,44233
242,44089
243,43999
244,44143
245,44251
246,44323
247,44089
248,44107
249,44215
250,44287
251,44197
252,44107
253,44287
254,44287
255,44251
256,43999
257,44107
258,44251
259,44197
260,44251
261,44107
262,44359
263,44161
264,44125
265,44161
266,43963
267,44305
268,44071
269,44053
270,44215
271,44125
272,44035
273,44017
274,44449
275,44161
276,44215
277,44035
278,44071
279,44233
280,44143
281,44305
282,44017
283,43999
284,44161
285,44125
286,44143
287,44161
288,44107
289,44107
290,44053
291,44179
292,44215
293,44017
294,44017
295,44161
296,44215
297,44071
298,44161
299,44035
300,44143
301,43963
302,44035
303,44053
304,44233
305,44251
306,44305
307,44071
308,44053
309,44125
310,44089
311,43963
312,44161
313,44269
314,44269
315,44413
316,44287
317,44143
318,44215
319,44161
320,44143
321,44215
322,44071
323,44215
324,44197
325,44233
326,44035
327,44161
328,44269
329,44323
330,44179
331,44089
332,44233
333,44089
334,44143
335,44161
336,44251
337,44125
338,44053
339,44125
340,44215
341,44089
342,44053
343,44413
344,44305
345,44233
346,44197
347,44053
348,44089
349,44125
350,44143
351,44179
352,44305
353,44071
354,44359
355,44161
356,43927
357,44035
358,44107
359,44053
360,44035
361,44017
362,44161
363,44071
364,44071
365,44359
366,44251
367,44143
368,44125
369,44467
370,44161
371,44053
372,44179
373,44035
374,43963
375,44215
376,44305
377,44341
378,44071
379,44125
380,44215
381,44143
382,44161
383,44215
384,43981
385,44125
386,44287
387,44269
388,44143
389,44287
390,44233
391,44215
392,44233
393,44125
394,44161
395,44179
396,44125
397,44089
398,44053
399,44017
400,44143
401,44332
