,0
0,56455
1,56455
2,56455
3,56455
4,56455
5,56455
6,56455
7,56455
8,56455
9,56455
10,56455
11,56455
12,56455
13,56455
14,56455
15,56455
16,56455
17,56455
18,56455
19,56455
20,56455
21,56311
22,56311
23,56311
24,56257
25,56257
26,56257
27,56257
28,56257
29,56257
30,56257
31,56203
32,56203
33,56203
34,56203
35,56203
36,56203
37,56203
38,56203
39,56203
40,56203
41,56203
42,56203
43,56203
44,56203
45,56203
46,56203
47,56203
48,55951
49,55717
50,55717
51,55483
52,55483
53,55483
54,55483
55,55483
56,55123
57,55123
58,55123
59,55123
60,55123
61,55123
62,55123
63,55123
64,55123
65,55123
66,55123
67,55123
68,55123
69,55123
70,55123
71,55123
72,55123
73,55123
74,55123
75,55087
76,55087
77,55087
78,55087
79,54853
80,54853
81,54403
82,54403
83,54403
84,54403
85,54403
86,54403
87,54403
88,54403
89,54403
90,54403
91,54403
92,54403
93,54403
94,54403
95,54133
96,54133
97,54133
98,54133
99,54133
100,54133
101,54133
102,53845
103,53845
104,53845
105,53845
106,53845
107,53845
108,53845
109,53845
110,53845
111,53845
112,53845
113,53845
114,53845
115,53845
116,53845
117,53845
118,53845
119,53845
120,53845
121,53845
122,53611
123,53611
124,53611
125,53611
126,53611
127,53611
128,53611
129,53611
130,53521
131,53521
132,53521
133,53521
134,53521
135,53521
136,53521
137,53521
138,53521
139,53467
140,53467
141,53467
142,53467
143,53467
144,53467
145,53467
146,53323
147,53323
148,53323
149,53323
150,53323
151,53323
152,53323
153,53323
154,53323
155,53323
156,53323
157,53323
158,53323
159,53323
160,53161
161,53161
162,53161
163,53161
164,52819
165,52819
166,52819
167,52819
168,52819
169,52819
170,52819
171,52819
172,52819
173,52819
174,52819
175,52765
176,52765
177,52765
178,52765
179,52765
180,52765
181,52765
182,52765
183,52765
184,52765
185,52765
186,52765
187,52765
188,52765
189,52765
190,52765
191,52765
192,52765
193,52765
194,52765
195,52765
196,52765
197,52765
198,52765
199,52765
200,52765
201,52765
202,52765
203,52765
204,52765
205,52765
206,52405
207,52405
208,52405
209,52405
210,52405
211,52405
212,52405
213,52405
214,52405
215,52405
216,52405
217,52405
218,52405
219,52405
220,52405
221,52405
222,52351
223,52351
224,52351
225,52351
226,52351
227,52351
228,52351
229,52351
230,52351
231,52261
232,52261
233,52261
234,52261
235,52099
236,52099
237,52045
238,52045
239,52045
240,52045
241,52045
242,52045
243,52045
244,52045
245,52045
246,52045
247,52045
248,52045
249,52045
250,52045
251,52045
252,51775
253,51775
254,51775
255,51775
256,51775
257,51775
258,51775
259,51775
260,51775
261,51775
262,51775
263,51775
264,51775
265,51775
266,51775
267,51775
268,51757
269,51757
270,51667
271,51667
272,51667
273,51667
274,51667
275,51667
276,51667
277,51613
278,51613
279,51613
280,51613
281,51595
282,51595
283,51595
284,51595
285,51595
286,51595
287,51595
288,51595
289,51307
290,51307
291,51307
292,51307
293,51307
294,51307
295,51307
296,51253
297,51253
298,51253
299,51253
300,51253
301,51253
302,51253
303,51235
304,51145
305,51145
306,51145
307,51145
308,50821
309,50821
310,50821
311,50821
312,50821
313,50821
314,50821
315,50821
316,50821
317,50821
318,50821
319,50821
320,50821
321,50821
322,50821
323,50821
324,50821
325,50821
326,50821
327,50821
