,0
0,58192
1,47914
2,42919
3,42334
4,45988
5,45376
6,44809
7,49120
8,49615
9,46330
10,43828
11,51532
12,42775
13,45682
14,62773
15,51748
16,50902
17,45682
18,43279
19,42946
20,45772
21,68920
22,47311
23,54097
24,43045
25,53287
26,63772
27,42991
28,43486
29,50281
30,64150
31,53971
32,53071
33,44062
34,43693
35,63097
36,47815
37,45502
38,64204
39,46204
40,60748
41,43702
42,58228
43,44341
44,66589
45,44872
46,42424
47,47095
48,62512
49,71917
50,59542
51,46015
52,63538
53,65968
54,46816
55,50443
56,51469
57,49894
58,46645
59,57769
60,50515
61,52162
62,50308
63,61450
64,67705
65,43738
66,56428
67,47266
68,66157
69,62962
70,45340
71,48382
72,46969
73,52423
74,45673
75,62899
76,43387
77,68335
78,57121
79,46573
80,45331
81,62539
82,52819
83,46150
84,46330
85,49156
86,46267
87,45358
88,44917
89,47563
90,47104
91,43126
92,68434
93,42451
94,52648
95,41542
96,49201
97,43810
98,54007
99,59416
