,0
0,69343
1,69289
2,69289
3,69235
4,69235
5,69235
6,69235
7,69235
8,69235
9,69235
10,69235
11,69235
12,69235
13,69235
14,69235
15,69235
16,69235
17,69289
18,69289
19,69289
20,69289
21,69289
22,69307
23,69307
24,69307
25,69415
26,69415
27,69271
28,69271
29,69271
30,69379
31,69379
32,69379
33,69379
34,68965
35,68965
36,68443
37,68443
38,68443
39,68443
40,68443
41,67885
42,67885
43,67885
44,67885
45,67885
46,67885
47,67885
48,67885
49,67525
50,67525
51,67417
52,67417
53,67417
54,67417
55,67417
56,67417
57,67417
58,67417
59,67417
60,67417
61,67417
62,67417
63,67417
64,67417
65,67417
66,67417
67,67417
68,67417
69,67417
70,67417
71,67417
72,67417
73,67507
74,67507
75,67507
76,67363
77,67345
78,67345
79,67345
80,67345
81,67345
82,67345
83,67345
84,67345
85,67345
86,67345
87,67345
88,67345
89,67345
90,67345
91,67345
92,67345
93,67345
94,67345
95,67345
96,67345
97,67345
98,67345
99,67345
100,67435
101,67399
102,67399
103,67399
104,67399
105,67399
106,67399
107,67399
108,67399
109,67399
110,67399
111,67399
112,67471
113,67471
114,67471
115,67471
116,67471
117,67471
118,67543
119,67543
120,67543
121,67543
122,67543
123,67543
124,67543
125,67543
126,67543
127,67543
128,67543
129,67345
130,67345
131,67111
132,67165
133,67165
134,67165
135,67165
136,66841
137,66805
138,66805
139,66805
140,66805
141,66805
142,66805
143,66805
144,66805
145,66805
146,66805
147,66751
148,66751
149,66751
150,66751
151,66553
152,66553
153,66553
154,66553
155,66553
156,66553
157,66553
158,66553
159,66553
160,66553
161,66553
162,65635
163,65707
164,65707
165,65707
166,65707
167,65707
168,65707
169,65707
170,65707
171,65707
172,65707
173,65707
174,65833
175,65833
176,65833
177,65833
178,65833
179,65941
180,65941
181,65545
182,65545
183,65527
184,65527
185,65527
186,65527
187,65527
188,65527
189,65527
190,65527
191,65527
192,65527
193,65527
194,65527
195,65545
196,65545
197,65545
198,65545
199,65545
200,65527
201,65527
202,65527
203,65581
204,65581
205,65581
206,65581
207,65617
208,65617
209,65707
210,65707
211,65707
212,65707
213,65707
214,65707
215,65707
216,65707
217,65887
218,65887
219,65887
220,65887
