,0
0,56500
1,56410
2,56815
3,56554
4,56869
5,56743
6,56581
7,56482
8,56500
9,56482
10,56554
11,56806
12,56455
13,56500
14,56725
15,56734
16,56455
17,56644
18,56455
19,56743
20,56617
21,56761
22,56545
23,56590
24,56509
25,56446
26,56635
27,56482
28,56671
29,56914
30,56518
31,56410
32,56509
33,56392
34,56572
35,56545
36,56617
37,56761
38,56788
39,56626
40,56572
41,56437
42,56464
43,56941
44,56527
45,56536
46,56473
47,56302
48,56401
49,56554
50,56383
51,56635
52,57256
53,56617
54,56635
55,56842
56,56500
57,56590
58,56491
59,56689
60,56608
61,56824
62,56878
63,56752
64,56491
65,56401
66,56626
67,56887
68,56608
69,56545
70,56914
71,56419
72,56617
73,56581
74,56455
75,56689
76,56509
77,56806
78,56356
79,56878
80,56446
81,56464
82,56617
83,56734
84,56815
85,56572
86,57040
87,57130
88,56590
89,56455
90,56518
91,56788
92,56680
93,56932
94,56644
95,56590
96,56698
97,56635
98,56608
99,56671
100,56455
101,57787
102,56581
103,56545
104,56374
105,56860
106,56554
107,56581
108,56590
109,56455
110,56473
111,56518
112,57346
113,56887
114,56527
115,56563
116,56842
117,57031
118,56581
119,56545
120,56410
121,56671
122,56707
123,56680
124,56671
125,56509
126,56590
127,56509
128,56599
129,56563
130,56995
131,56734
132,56464
133,56599
134,56491
135,56428
136,56491
137,56563
138,56482
139,56734
140,56338
141,56689
142,57625
143,56662
144,56635
145,56509
146,56500
147,56599
148,56554
149,56581
150,56626
151,56437
152,56500
153,56572
154,56536
155,56725
156,56617
157,56698
158,56464
159,56662
160,56401
161,56797
162,56482
163,56563
164,56734
165,56725
166,56311
167,56626
168,56716
169,56608
170,56545
171,56599
172,56500
173,56464
174,56356
175,56815
176,56635
177,56617
178,56698
179,56644
180,56527
181,56491
182,56455
183,56473
184,56698
185,56455
186,56671
187,56914
188,56473
189,56581
190,56878
191,56500
192,56446
193,56491
194,56509
195,56833
196,56581
197,56680
198,56680
199,56482
200,56869
201,56527
202,56509
203,56572
204,56401
205,56896
206,57202
207,56491
208,56779
209,56536
210,56401
211,56536
212,56527
213,56599
214,56761
215,56527
216,56446
217,56824
218,56536
219,56518
220,56509
221,56626
222,56347
223,56761
224,57202
225,56653
226,56554
227,56455
228,56662
229,56500
230,56869
231,56932
232,56644
233,56374
234,57040
235,56716
236,56428
237,56473
238,56518
239,56716
240,56500
241,56572
242,56536
243,56698
244,56608
245,56356
246,56752
247,56950
248,56797
249,56698
250,56410
251,56329
252,56680
253,56779
254,56563
255,56356
256,56518
257,56446
258,56752
259,56374
260,56617
261,56671
262,56743
263,56923
264,56410
265,56554
266,56635
267,56635
268,56518
269,57130
270,56419
271,56626
272,56482
273,56572
274,56437
275,56824
276,56680
277,56896
278,56698
279,56455
280,56617
281,56761
282,56536
283,56671
284,56509
285,56815
286,56536
287,56626
288,56554
289,57166
290,56554
291,56572
292,56563
293,56599
294,56545
295,57238
296,56851
297,56689
298,56428
299,56491
300,56734
301,56401
302,56635
303,56626
304,56500
305,56536
306,56554
307,56851
308,56689
309,56545
310,56491
311,56842
312,56536
313,57013
314,56464
315,56644
316,56428
317,56608
318,56734
