,0
0,46024
1,45871
2,46339
3,46096
4,46114
5,45907
6,46087
7,46177
8,45862
9,46042
10,45754
11,46240
12,45826
13,45961
14,46375
15,45907
16,45826
17,45826
18,46096
19,45736
20,46024
21,46024
22,45808
23,46285
24,46186
25,46087
26,45790
27,46321
28,45988
29,45754
30,45790
31,45898
32,46078
33,45889
34,45826
35,45682
36,45898
37,46591
38,45862
39,46159
40,46060
41,46087
42,45628
43,46015
44,46222
45,46186
46,45862
47,45925
48,45916
49,46141
50,46042
51,45997
52,45880
53,46060
54,45970
55,46348
56,46222
57,45754
58,46375
59,45835
60,46276
61,45934
62,46087
63,46069
64,45880
65,45808
66,45943
67,46339
68,46069
69,46033
70,45790
71,45880
72,46186
73,46294
74,45808
75,46096
76,46159
77,46042
78,45790
79,45988
80,45916
81,45835
82,46384
83,46096
84,46213
85,45736
86,45700
87,46060
88,46123
89,46303
90,46339
91,46060
92,46249
93,46474
94,46078
95,46312
96,45943
97,46042
98,45943
99,46213
100,46159
101,46312
102,46024
103,45952
104,46096
105,45988
106,46132
107,45736
108,45808
109,45943
110,45844
111,45808
112,46213
113,45988
114,46087
115,46303
116,45952
117,45826
118,46186
119,45862
120,45871
121,45844
122,45988
123,46078
124,46249
125,46240
126,46105
127,46366
128,45808
129,46096
130,45628
131,46384
132,46006
133,45916
134,45943
135,46141
136,45808
137,46177
138,46105
139,46105
140,45988
141,45772
142,45979
143,45790
144,45826
145,46258
146,45979
147,46402
148,45907
149,45916
150,45754
151,45817
152,45898
153,45700
154,45808
155,45988
156,45880
157,45880
158,46105
159,46186
160,46195
161,45826
162,45952
163,46042
164,45889
165,45988
166,46069
167,46411
168,45970
169,45943
170,45808
171,46411
172,45682
173,46537
174,46348
175,46411
176,45754
177,46132
178,46123
179,45826
180,45979
181,46276
182,46213
183,46321
184,45835
185,45772
186,46114
187,46618
188,46114
189,46114
190,45844
191,45853
192,46159
193,46105
194,46258
195,45754
196,45817
197,45961
198,45736
199,46060
200,46105
201,46042
202,45772
203,46258
204,46195
205,46285
206,45844
207,46078
208,45916
209,46276
210,46123
211,45970
212,46015
213,45925
214,46096
215,45862
216,45808
217,45880
218,46231
219,46258
220,46042
221,45952
222,45862
223,45907
224,45781
225,46006
226,45952
227,45808
228,45871
229,46132
230,46519
231,46330
232,45934
233,45943
234,45961
235,46429
236,46060
237,46096
238,46159
239,45934
240,45952
241,45808
242,45826
243,46078
244,46357
245,46042
246,46213
247,45898
248,45970
249,45898
250,46348
251,46069
252,46042
253,46249
254,46177
255,45754
256,46465
257,46213
258,46150
259,45943
260,45988
261,45754
262,46159
263,45817
264,45772
265,46024
266,45844
267,46231
268,46420
269,46060
270,46024
271,45754
272,46060
273,45700
274,45826
275,45952
276,46078
277,45988
278,45970
279,46024
280,46159
281,45799
282,45880
283,45979
284,45979
285,46087
286,45718
287,46321
288,45853
289,46132
290,46501
291,46006
292,46582
293,45826
294,46051
295,45970
296,46672
297,46006
298,45952
299,46384
300,46051
301,45772
302,45754
303,46438
304,45997
305,45916
306,45772
307,46699
308,45736
309,46015
310,46051
311,46069
312,45736
313,46006
314,45772
315,45970
316,46240
317,45916
318,45916
319,46186
320,46312
321,45970
322,45862
323,46240
324,45988
325,45862
326,46285
327,45871
328,46060
329,45772
330,45934
331,45700
332,46105
333,46285
334,45889
335,46294
336,46105
337,45952
338,45952
339,46204
340,46087
341,45844
342,45781
343,45988
344,45880
345,46213
346,45925
347,45979
348,45754
349,45880
350,46249
351,46015
352,45934
353,45700
354,45961
355,46168
356,45880
357,45826
358,46384
359,46321
360,45988
361,46096
362,45736
363,46438
364,46123
365,46555
366,45646
367,45889
368,46105
369,45835
370,46348
371,46267
372,45916
373,46888
374,45790
375,46303
376,46069
377,45988
378,45988
379,46060
380,46051
381,46195
382,46231
383,45682
384,45943
385,46024
386,45952
387,45880
388,46186
389,45826
390,46501
391,46042
392,45853
393,46402
394,45916
395,45997
396,45952
397,46159
398,45781
399,46195
400,46195
401,46312
402,46195
403,46096
404,45646
405,45862
406,46186
407,45961
408,45988
409,45916
410,45817
411,46105
412,46006
413,45736
414,46069
415,46195
416,45700
417,45970
418,46024
419,46258
420,46006
421,45943
422,46096
423,46231
424,46042
425,45817
426,46231
427,45853
428,45817
429,46096
430,45790
431,45898
432,46321
433,45952
434,46204
435,46015
436,45988
437,45970
438,46096
439,45718
440,46024
441,46051
442,46393
443,46321
444,45988
445,45826
446,46105
447,46330
448,45997
449,45898
450,45871
451,46033
452,46285
453,45961
454,46177
455,46087
456,45763
457,45835
458,45862
459,45790
460,46042
461,45781
462,45763
463,46015
464,46006
465,46186
466,46060
467,45988
468,46528
469,45943
470,46231
471,45889
472,46429
473,45790
474,46105
475,45826
476,45754
477,46375
478,46645
479,46141
480,45646
481,46051
482,46807
483,46105
484,46069
485,46285
486,46060
487,46483
488,46231
489,45907
490,46177
491,45862
492,46141
493,46321
494,45862
495,46348
496,46339
497,45808
498,46051
499,45970
500,46897
501,45754
502,45754
503,46096
504,46123
505,45898
506,45862
507,46213
508,46105
509,45718
510,45772
511,45997
512,45907
513,45880
514,46177
515,45997
516,46024
517,46483
518,45907
519,46051
520,46132
521,46024
522,46159
523,45826
524,46249
525,46024
526,45736
527,46456
528,46411
529,46042
530,45781
531,46348
532,45853
533,45880
534,45835
535,45835
536,46168
537,46141
538,45700
539,45817
540,45682
541,46096
542,46159
543,45826
544,45952
545,45871
546,45961
547,46222
548,45979
549,45952
550,46150
551,45826
552,45907
553,46024
554,46348
555,46339
556,45826
557,46141
558,46321
559,45862
560,45898
561,45961
562,45754
563,45898
564,46042
565,46402
566,45808
567,46231
568,45736
569,46330
570,46123
571,46267
572,46231
573,46123
574,45889
575,45826
576,45844
577,45700
578,45997
579,45934
580,46267
581,46906
582,46123
583,46411
584,45961
585,45952
586,45862
587,45916
588,46258
589,46177
590,46105
591,45700
592,46258
593,46384
594,46069
595,45907
596,46681
597,46762
598,46096
599,46348
600,46051
601,45979
602,46087
603,45799
604,45736
605,46105
606,45808
607,45934
608,45970
609,46051
610,45700
611,45916
612,45835
613,46141
614,45952
615,45880
616,45970
617,46195
618,46096
619,45781
620,46042
621,45772
622,46195
623,46006
624,46537
625,45880
626,45898
627,46033
628,45835
629,46114
630,46339
631,45853
632,45952
633,45979
634,45970
635,45736
636,45952
637,45943
638,45925
639,45871
640,46339
641,46042
642,46330
643,45772
644,46096
645,46042
646,45862
647,46582
648,46087
649,46483
650,46357
651,45754
652,45826
653,46087
654,45862
655,46024
656,46627
657,45961
658,45844
659,45970
660,46024
661,46177
662,45790
663,46186
664,45700
665,45880
666,46348
667,46051
668,46033
669,46123
670,46564
671,45979
672,46051
673,46132
674,45871
675,46015
676,45934
677,46006
678,45952
679,45880
680,46195
681,46096
682,45979
683,46249
684,45943
685,45808
686,46204
687,46024
688,46150
689,45790
690,45889
691,46258
692,46015
693,46150
694,46393
695,45754
696,46096
697,45853
698,46015
699,45736
700,46087
701,46060
702,46798
703,45736
704,46060
705,45898
706,46240
707,46465
708,45862
709,45943
710,46438
711,45862
712,45988
713,45772
714,46240
715,46348
716,46177
717,45943
718,45835
719,46096
720,46087
721,45772
722,46303
723,46006
724,46060
725,45970
726,45934
727,45997
728,45853
729,46222
730,46195
731,46249
732,46231
733,45844
734,46249
735,46006
736,45934
737,46006
738,46366
739,45970
740,45871
741,45844
742,45988
743,45952
744,45808
745,46123
746,45952
747,45772
748,46222
749,46123
750,46285
751,45988
752,46060
753,45916
754,45970
755,45952
756,45934
757,45826
758,46276
759,45997
760,45772
761,45934
762,46204
763,45907
764,45790
765,46105
766,46060
767,46249
768,46024
769,46006
770,45736
771,45880
772,45790
773,46087
774,45736
775,45889
776,45907
777,46195
778,46420
779,45754
780,46132
781,46429
782,45646
783,45790
784,46132
785,46573
786,45754
787,46249
788,45772
789,45916
790,45898
791,45862
792,46285
793,46150
794,46069
795,45772
796,46087
797,46069
798,46141
799,45952
800,46456
801,46177
802,45943
803,46591
804,46069
805,45970
806,46069
807,46420
808,46339
809,46105
810,45790
811,45961
812,46006
813,45736
814,45889
815,46186
816,46042
817,45907
818,45952
819,46024
820,46060
821,45736
822,45862
823,45997
824,46150
825,46330
826,45880
827,46213
828,46285
829,45880
830,45916
831,46411
832,46465
833,46384
834,46033
835,46033
836,46267
837,45952
838,45844
839,46042
840,45880
841,46060
842,45754
843,46276
844,45664
845,45889
846,46222
847,46366
848,45853
849,46078
850,46294
851,45862
852,45736
853,46006
854,46294
855,45754
856,45871
857,45997
858,46042
859,46294
860,46312
861,45799
862,45889
863,45736
864,46042
865,46159
866,45853
867,45790
868,45826
869,46240
870,46114
871,45916
872,46186
873,45718
874,45700
875,45880
876,46042
877,45970
878,45934
879,45844
880,46312
881,45961
882,46132
883,46393
884,46213
885,45862
886,46231
887,46456
888,46051
889,46123
890,45979
891,46114
892,46447
893,45763
894,46204
895,45826
896,45772
897,45871
898,45880
899,45844
900,46114
901,45988
902,46195
903,45979
904,45952
905,46042
906,45988
907,45799
908,46438
909,46267
910,45835
911,46240
912,45952
913,46276
914,46087
915,46096
916,46096
917,45700
918,46204
919,46195
920,46024
921,45988
922,45862
923,46015
924,46159
925,45898
926,46177
927,45943
928,45736
929,46105
930,45871
931,45988
932,46141
933,45970
934,45988
935,46546
936,46015
937,46168
938,46123
939,45853
940,45853
941,46249
942,46240
943,45844
944,46051
945,45826
946,46285
947,46375
948,46069
949,46204
950,46132
951,45772
952,45790
953,46537
954,46186
955,46177
956,46060
957,46780
958,46447
959,46114
960,45700
961,46141
962,45718
963,46177
964,46465
965,46015
966,46177
967,46033
968,46078
969,46087
970,46249
971,46105
972,45898
973,46177
974,45754
975,46078
976,46177
977,46195
978,46006
979,45889
980,46006
981,45736
982,45898
983,45871
984,45889
985,45853
986,46141
987,46033
988,45808
989,45808
990,45862
991,45979
992,45907
993,46141
994,45853
995,45988
996,45826
997,46051
998,45952
999,45736
