,0
0,73015
1,78226
2,70801
3,78829
4,74428
5,75328
6,75571
7,75490
8,77659
9,75220
10,75652
11,76768
12,75112
13,77479
14,76471
15,74887
16,75670
17,77623
18,77047
19,75877
20,76633
21,77488
22,75571
23,76651
24,75049
25,73447
26,75706
27,73537
28,79630
29,73798
30,76939
31,75004
32,75823
33,75184
34,74077
35,74473
36,76660
37,76984
38,76732
39,73330
40,75670
41,77245
42,76282
43,74194
44,75436
45,76381
46,74734
47,75517
48,76732
49,75976
50,75922
51,77272
52,76471
53,73636
54,77380
55,77515
56,75985
57,77452
58,74590
59,75580
60,75067
61,76390
62,75805
63,75958
64,75805
65,73492
66,79756
67,74617
68,75886
69,76561
70,72880
71,78865
72,77704
73,76471
74,74518
75,77425
76,76336
77,73555
78,73033
79,75067
80,75526
81,76993
82,78163
83,75481
84,76336
85,74950
86,73492
87,76840
88,78478
89,78100
90,76354
91,76660
92,74797
93,76192
94,73276
95,75841
96,74230
97,77659
98,77443
99,74878
100,73447
101,75670
102,75517
103,77254
104,75940
105,75157
106,73375
107,79063
108,76849
109,78091
110,71152
111,74455
112,77857
113,77470
114,73978
115,78748
116,75778
117,75886
118,77038
119,73933
120,77929
121,76894
122,76462
123,73105
124,74743
125,77398
126,78064
127,76444
128,76885
129,77398
130,72610
131,76372
132,77794
133,78541
134,77353
135,75292
136,72421
137,75958
138,79459
139,75364
140,78460
141,78514
142,76525
143,76282
144,76948
145,74905
146,77290
147,75931
148,78325
149,76525
150,77407
151,75166
152,76606
153,75607
154,72727
155,73960
156,75346
157,77137
158,76858
159,74941
160,74833
161,75508
162,78883
163,76669
164,77776
165,77740
166,78694
167,75841
168,75310
169,73375
170,75031
171,74689
172,78496
173,78136
174,78082
175,77191
176,77065
177,77227
178,75652
179,75265
180,76984
181,73339
182,74554
183,75742
184,77137
185,75220
186,77596
187,76615
188,75346
189,73564
190,77308
191,71521
192,77218
193,76714
194,73717
195,78586
196,74203
197,75643
198,75688
199,75139
200,76462
201,73555
202,78046
203,76075
204,78550
205,76453
206,75652
207,73123
208,77677
209,75778
210,75778
211,75175
212,74059
213,75292
214,78478
215,75769
216,78550
217,77569
218,76768
219,76219
220,74329
221,75013
222,74815
223,76012
224,76678
225,76561
226,75814
227,74383
228,73825
229,77263
230,78136
231,75112
232,76264
233,74842
234,76255
235,74680
236,78820
237,75139
238,78055
239,77623
240,76579
241,77686
242,74464
243,73690
244,73420
245,74914
246,75679
247,74590
248,76318
249,76210
250,72286
251,76174
252,75553
253,75598
254,75859
255,76318
256,76687
257,76642
258,73879
259,78451
260,76219
261,76147
262,76984
263,76876
264,77731
265,75355
266,75031
267,77488
268,74383
269,77938
270,74086
271,76633
272,75139
273,76615
274,74446
275,76372
276,75724
277,73357
278,76102
279,73510
280,75400
281,76300
282,73951
283,76804
284,75913
285,76336
286,73735
287,76399
288,75985
289,76858
290,76777
291,75715
292,75715
293,75283
294,74644
295,78730
296,75184
297,76642
298,77371
299,74266
300,76273
301,74932
302,74338
303,76633
304,77380
305,76687
306,75706
307,75121
308,76174
309,79594
310,78829
311,76408
312,74770
313,75580
314,76354
315,79675
316,74986
317,76201
318,74509
319,76111
320,77326
321,76525
322,76219
323,75589
324,75598
325,74653
326,74428
327,74401
328,76624
329,76786
330,75400
331,76264
332,75697
333,75112
334,77290
335,76057
336,76264
337,76975
338,72061
339,78667
340,78748
341,77551
342,75400
343,74824
344,74734
345,76516
346,76219
347,74599
348,79909
349,79657
350,73906
351,76858
352,74770
353,76228
354,74536
355,74734
356,76327
357,74779
358,75733
359,73987
360,74725
361,75310
362,78811
363,76966
364,78451
365,74626
366,75517
367,74491
368,75859
369,74707
370,75121
371,74662
372,77263
373,74743
374,75139
375,73780
376,77776
377,78271
378,76525
379,78856
380,74536
381,75976
382,76579
383,76147
384,76039
385,74032
386,76183
387,76471
388,76804
389,75166
390,79981
391,75769
392,75211
393,77587
394,77470
395,76453
396,74851
397,77650
398,76237
399,77524
400,70576
401,77335
402,77992
403,75553
404,74356
405,73483
406,77254
407,76768
408,73906
409,75607
410,75850
411,77407
412,74887
413,75436
414,74977
415,78109
416,78316
417,76714
418,77515
419,73735
420,75067
421,75643
422,76813
423,77461
424,77848
425,75346
426,76246
427,79855
428,76444
429,76138
430,74455
431,75526
432,77146
433,75292
434,73834
435,75904
436,74842
437,76894
438,74653
439,77254
440,76255
441,75679
442,73753
443,76777
444,77767
445,76804
446,75292
447,76426
448,76831
449,74293
450,75256
451,77470
452,73474
453,76066
454,74734
455,77335
456,77389
457,77263
458,74986
459,76885
460,76084
461,75715
462,75121
463,75319
464,74320
465,76669
466,76381
467,76651
468,79117
469,75400
470,74572
471,78631
472,75841
473,78847
474,78856
475,77011
476,76030
477,76543
478,75931
479,73141
480,75337
481,74095
482,75841
483,76651
484,74680
485,75202
486,75463
487,76336
488,75967
489,73987
490,73690
491,74941
492,72709
493,74572
494,73717
495,74572
496,76723
497,72610
498,74050
499,76390
500,75616
501,73843
502,77875
503,77344
504,78433
505,74662
506,75607
507,78280
508,75499
509,75841
510,74482
511,74140
512,77101
513,77425
514,76903
515,74086
516,74401
517,75544
518,76966
519,77740
520,73150
521,74941
522,74671
523,73582
524,74455
525,78091
526,76777
527,76345
528,76498
529,76156
530,74635
531,78325
532,75472
533,75193
534,74113
535,73654
536,78280
537,78919
538,77911
539,75904
540,75985
541,77596
542,76822
543,77677
544,75598
545,77578
546,76615
547,76381
548,75688
549,76165
550,75949
551,75904
552,77074
553,75625
554,75895
555,78028
556,75130
557,78307
558,77209
559,74689
560,76291
561,75751
562,75130
563,73339
564,78334
565,76111
566,74599
567,75652
568,74500
569,74221
570,76291
571,77038
572,77254
573,75841
574,74293
575,77398
576,76219
577,76192
578,74941
579,76363
580,76273
581,78271
582,76003
583,75229
584,75697
585,77587
586,76183
587,74608
588,74104
589,74113
590,75886
591,76471
592,74320
593,77236
594,78559
595,76795
596,77758
597,75499
598,72115
599,74041
600,75688
601,74725
602,76111
603,74410
604,73546
605,74473
606,76147
607,76273
608,75130
609,76633
610,78253
611,77254
612,77659
613,75805
614,77668
615,76012
616,75067
617,76804
618,76804
619,77857
620,75391
621,73969
622,76048
623,76885
624,76111
625,76030
626,73078
627,74185
628,76912
629,76390
630,75553
631,74284
632,74644
633,75220
634,75787
635,75490
636,76642
637,75850
638,72583
639,75409
640,76210
641,76327
642,75319
643,75067
644,77596
645,74131
646,76363
647,75409
648,78478
649,74653
650,78001
651,74275
652,73240
653,76066
654,74725
655,75697
656,76525
657,75904
658,76525
659,73870
660,76831
661,74977
662,75580
663,75598
664,77389
665,76408
666,76957
667,76984
668,75994
669,73906
670,75895
671,78235
672,76138
673,77974
674,74617
675,75598
676,76246
677,75796
678,75094
679,73366
680,70558
681,73600
682,73663
683,77074
684,76912
685,77110
686,79171
687,78055
688,75121
689,74896
690,76291
691,76966
692,74167
693,75409
694,75688
695,73231
696,76786
697,73825
698,75004
699,76381
700,76408
701,76705
702,75328
703,74896
704,74356
705,74500
706,76093
707,72097
708,76732
709,72934
710,77515
711,78298
712,76201
713,78532
714,74941
715,74752
716,75328
717,77146
718,73861
719,74608
720,75724
721,75616
722,78451
723,74851
724,75760
725,73573
726,75130
727,75823
728,73879
729,76048
730,77218
731,75580
732,75004
733,72979
734,75499
735,74833
736,76840
737,76066
738,75256
739,75427
740,74851
741,75643
742,73069
743,75328
744,78136
745,75985
746,75967
747,77128
748,74005
749,76075
750,75337
751,74644
