,0
0,50470
1,59713
2,76282
3,56437
4,56941
5,49318
6,53224
7,53449
8,63511
9,51379
10,53422
11,59794
12,52279
13,56968
14,65626
15,58264
16,62692
17,51622
18,42064
19,61351
20,61990
21,56878
22,56068
23,65689
24,58534
25,59704
26,57382
27,53980
28,54025
29,66427
30,48922
31,65410
32,51613
33,53890
34,57202
35,57013
36,47581
37,52126
38,61027
39,55582
40,55555
41,56950
42,57985
43,54835
44,52333
45,57823
46,56995
47,59623
48,55969
49,68524
50,62755
51,60451
52,55969
53,63160
54,60073
55,66121
56,63223
57,70207
58,46141
59,56662
60,68335
61,57634
62,46771
63,54547
64,48499
65,58498
66,56788
67,52495
68,47464
69,48868
70,51217
71,48814
72,47995
73,48382
74,64465
75,71584
76,46699
77,57391
78,54925
79,55618
80,53845
81,74851
82,68416
83,53647
84,64105
85,54484
86,56662
87,63844
88,67399
89,68830
90,69433
91,66346
92,52054
93,66400
94,50641
95,57859
96,52576
97,50155
98,70207
99,51802
100,58570
101,59083
102,52801
103,66670
104,48310
105,47518
106,53980
107,55285
108,58480
109,45151
110,63979
111,57778
112,53989
113,49588
114,51982
115,50803
116,55681
117,53935
118,52999
119,76345
120,53872
121,52126
122,64420
123,69100
124,56581
125,54628
126,70270
127,56266
128,48121
129,50398
130,47923
131,56653
132,68119
133,46078
134,51793
135,53539
136,59947
137,58471
138,51820
139,58426
140,52837
141,66274
142,61963
143,56401
144,61702
145,46078
146,48526
147,65878
148,45601
149,53071
150,51865
151,59074
152,68713
153,67777
154,60640
155,55924
156,58057
157,59569
158,58921
159,75328
160,63169
161,48913
162,53872
163,53548
164,70855
165,52252
166,49993
167,56590
168,71188
169,66850
170,51190
171,61945
172,67039
173,55330
174,49651
175,51496
176,62116
177,49696
178,54061
179,48463
180,58687
181,50398
182,65068
183,51190
184,51352
185,62530
186,51217
187,64015
188,55915
189,72142
190,53998
191,68209
192,67849
193,62782
194,64717
195,51379
196,49075
197,60127
198,49210
199,56608
200,56194
201,49912
202,60838
203,60154
204,58156
205,55915
206,59992
207,50821
208,53485
209,59290
210,60667
211,52486
212,58228
213,59785
214,53674
215,53584
216,57805
217,47482
218,47329
219,49363
220,67030
221,53881
222,70666
223,49921
224,55897
225,56185
226,56554
227,64483
228,55969
229,67705
230,70828
231,52198
232,63565
233,50479
234,50443
235,76930
236,49462
237,62476
238,63529
239,64753
240,62980
241,57283
242,57112
243,69010
244,59866
245,48337
246,63196
247,55114
248,58651
249,49894
250,51397
251,73816
252,58201
253,64735
254,52603
255,47995
256,69316
257,57373
258,59209
259,49939
260,49957
261,55330
262,70522
263,65509
264,59317
265,67957
266,57742
267,58417
268,55024
269,58939
270,56401
271,48328
272,51613
273,55015
274,52108
275,69361
276,70009
277,72268
278,66832
279,55528
280,57553
281,60370
282,61279
283,54421
284,47878
285,66760
286,74860
287,51874
288,58147
289,60109
290,56653
291,57166
292,57607
293,67795
294,70729
295,71890
296,62485
297,53008
298,68830
299,57463
300,49597
301,54313
302,53305
303,67921
304,50659
305,51019
306,71755
307,52621
308,50335
309,56419
310,53017
311,50020
312,47797
313,66652
314,51496
315,61360
316,54673
317,52657
318,53593
319,58957
320,57868
321,49120
322,72727
323,46852
324,76507
325,49885
326,53287
327,53809
328,54340
329,58300
330,48031
331,47248
332,60919
333,48985
334,56518
335,53890
336,66940
337,55816
338,57202
339,55618
340,48220
341,71629
342,53521
343,55753
344,61603
345,54880
346,48382
347,56617
348,66076
349,66742
350,67327
351,51280
352,49255
353,49201
354,63943
355,53476
356,63988
357,55960
358,63295
359,59128
360,52414
361,56428
362,62179
363,58120
364,60019
365,49048
366,54907
367,51388
368,51748
369,46150
370,58264
371,51487
372,49093
373,52234
374,63916
375,59002
376,50506
377,62791
378,54295
379,59767
380,67183
381,57841
382,59263
383,54565
384,49480
385,67777
386,53287
387,56275
388,51181
389,55132
390,63052
391,57463
392,57796
393,50038
394,66310
395,51577
396,47455
397,60388
398,60091
399,48319
400,55087
401,56932
402,50947
403,51388
404,51694
405,66472
406,49264
407,51910
408,61702
409,53206
410,63394
411,53773
412,54538
413,53296
414,51352
415,53656
416,61693
417,53413
418,50731
419,54943
420,65815
421,58795
422,61990
423,48058
424,54853
425,56167
426,65770
427,48472
428,53314
429,56185
430,55240
431,68155
432,70693
433,52171
434,56347
435,57760
436,56500
437,60928
438,62692
439,50767
440,69406
441,64987
442,66733
443,67336
444,52855
445,49858
446,53035
447,55978
448,54448
449,58354
450,56104
451,50461
452,61288
453,48940
454,54259
455,57832
456,60433
457,64078
458,73870
459,54385
460,60325
461,51226
462,65491
463,54520
464,64285
465,59308
466,53818
467,69901
468,49147
469,59875
470,53638
471,46411
472,55780
473,63484
474,48427
475,51541
476,57724
477,65194
478,63304
479,50587
480,58498
481,55546
482,58849
483,57796
484,64996
485,53224
486,56680
487,57310
488,55456
489,68812
490,69802
491,54106
492,67444
493,63232
494,52126
495,56122
496,48859
497,57481
498,57544
499,49516
500,57643
501,58138
502,60604
503,49300
504,50146
505,75049
506,53512
507,52585
508,48886
509,58246
510,50875
511,59182
512,71746
513,65239
514,65419
515,48913
516,52099
517,51712
518,57526
519,60595
520,54529
521,67912
522,60001
523,49570
524,53962
525,56644
526,67111
527,65059
528,64078
529,57760
530,63187
531,51901
532,67381
533,57418
534,61126
535,54745
536,63628
537,53656
538,55636
539,70189
540,52918
541,59020
542,65527
543,46177
544,49444
545,67264
546,64600
547,48202
548,51334
549,61630
550,53962
551,68677
552,50929
553,58984
554,55744
555,72106
556,59047
557,56671
558,53890
559,56212
560,57832
561,54736
562,71692
563,64987
564,65779
565,63934
566,58030
567,53287
568,58093
569,54673
570,51469
571,55618
572,54817
573,59542
574,50830
575,51658
576,57436
577,64177
578,61414
579,60856
580,48760
581,50614
582,67084
583,48472
584,55267
585,47203
586,53566
587,44152
588,68461
589,59443
590,53620
591,59965
592,58012
593,65923
594,52027
595,66292
596,49282
597,54772
598,57490
599,59479
600,66220
601,49192
602,56644
603,65887
604,60829
605,59938
606,67309
607,50461
608,58255
609,57886
610,57472
611,54907
612,53170
613,53314
614,51910
615,66121
616,56788
617,64060
618,70540
619,49660
620,68794
621,55492
622,48229
623,54664
624,52855
625,55042
626,56608
627,56338
628,61693
629,54376
630,54907
631,53728
632,65005
633,62512
634,56932
635,52036
636,50740
637,67831
638,70513
639,57634
640,46780
641,53998
642,56041
643,68038
644,60820
645,52702
646,65059
647,55726
648,52198
649,48526
650,60748
651,59326
652,57148
653,51325
654,57958
655,64735
656,54727
657,62485
658,61558
659,50677
660,53413
661,74662
662,49327
663,70207
664,52720
665,55942
666,53692
667,51370
668,67273
669,51397
670,54628
671,64528
672,62548
673,64492
674,56914
675,61045
676,60226
677,52000
678,63736
