,0
0,75238
1,75238
2,75256
3,75238
4,75238
5,75562
6,75580
7,74968
8,74968
9,74968
10,74968
11,74968
12,74968
13,74968
14,74968
15,74968
16,74968
17,74968
18,74770
19,74770
20,74770
21,74698
22,74716
23,74698
24,74770
25,74770
26,74770
27,74770
28,74806
29,74806
30,74806
31,74806
32,74806
33,74806
34,74734
35,74734
36,74698
37,74698
38,74698
39,74194
40,74194
41,73924
42,73924
43,73924
44,73924
45,73924
46,73924
47,73924
48,73924
49,73924
50,73924
51,74158
52,74158
53,74140
54,74140
55,73726
56,74050
57,74212
58,74122
59,74122
60,74122
61,74122
62,74122
63,73222
64,73222
65,73222
66,73222
67,73132
68,73132
69,73132
70,73132
71,73132
72,72844
73,72844
74,72862
75,72844
76,72844
77,72862
78,73042
79,72682
80,72682
81,72682
82,72682
83,73006
84,73006
85,73006
86,73006
87,73366
88,73366
89,73456
90,73276
91,73438
92,73456
93,73456
94,73528
95,73528
96,73528
97,73708
98,73708
99,73438
100,73438
101,73402
102,73402
103,73402
104,73402
105,73402
106,73402
107,73402
108,73582
109,73582
110,73582
111,73582
112,73582
113,73582
114,73582
115,73582
116,73582
117,73582
118,73582
119,74050
120,74050
121,74050
122,74230
123,73906
124,73906
125,73906
126,73906
127,73510
128,73510
129,73510
130,73852
131,73852
132,73708
133,73708
134,73438
135,73438
136,73438
137,73438
138,73438
139,73348
140,73006
141,73168
142,73168
143,73168
144,73474
145,73474
146,73474
147,73474
148,73474
149,73474
150,73762
151,73654
152,73636
153,73636
154,73636
155,73636
156,73636
157,73636
158,73546
159,73636
160,73636
161,73636
162,73636
163,73744
164,73744
165,73744
166,73744
167,73744
168,73744
169,73744
170,73744
171,73744
172,73726
173,73834
174,73834
175,73834
176,73834
177,73834
178,73798
179,73798
180,73636
181,73636
182,73708
183,73708
184,73636
185,73636
186,73636
187,73636
188,73402
189,73042
190,72988
191,72988
192,72988
193,73186
194,73186
195,73708
196,74248
197,74248
198,74248
199,74248
200,74248
201,74248
202,74338
203,74248
204,74248
205,74716
206,74716
207,74716
208,74716
209,75274
210,75274
211,75166
212,75166
213,74896
214,74896
215,74950
216,74950
217,74950
218,74896
219,74572
220,74572
221,74968
222,75202
223,74752
224,74752
225,74752
226,74752
227,74752
228,74752
229,74644
230,74644
231,74536
232,74536
233,74536
