,0
0,73771
1,59920
2,62683
3,61288
4,67111
5,61792
6,63547
7,61972
8,68263
9,63565
10,61981
11,63295
12,66211
13,65608
14,61117
15,71215
16,70441
17,62764
18,60496
19,61954
20,60568
21,72385
22,73213
23,67975
24,61972
25,60433
26,60919
27,64627
28,70522
29,67984
30,61126
31,60046
32,61306
33,75868
34,62215
35,64168
36,70117
37,60928
38,60568
39,62422
40,60127
41,60064
42,67606
43,75130
44,60532
45,60928
46,68569
47,73789
48,61873
49,60055
50,61198
51,63268
52,59740
53,61018
54,61675
55,62521
56,60955
57,71710
58,64060
59,59497
60,61495
61,65743
62,62260
63,62080
64,62125
65,61135
66,69568
67,71467
68,65608
69,72466
70,66535
71,59101
72,69460
73,64744
74,71629
75,66886
76,59047
77,76237
78,62458
79,63340
80,60442
81,60406
82,61000
83,65131
84,75283
85,59758
86,73618
87,73987
88,60514
89,60739
90,60973
91,70540
92,65257
93,70531
94,65977
95,71026
96,59947
97,66868
98,64393
99,78019
100,61135
101,62872
102,60703
103,60478
104,63493
105,63808
106,62809
107,72826
108,59848
109,59821
110,61639
111,61549
112,67129
113,59758
114,66976
115,59713
116,60316
117,60262
118,60172
119,66679
120,63979
121,61036
122,63583
123,75427
124,59425
125,62035
126,61810
127,71017
128,72565
129,76660
130,60100
131,64303
132,62791
133,61630
134,61837
135,77416
136,59623
137,60865
138,65086
139,61036
140,73528
141,72934
142,72070
143,65716
144,60343
145,64645
146,60271
147,67264
148,61018
149,76075
150,68542
151,73456
152,61162
153,63880
154,71305
155,58597
156,60271
157,68074
158,64996
159,60433
160,69586
161,70666
162,61180
163,74068
164,76426
165,59497
166,61063
167,68092
168,60307
169,73213
170,76381
171,63925
172,66409
173,61927
174,61630
175,69649
176,61963
177,61234
178,59884
179,73006
180,71926
181,59857
182,61000
183,60253
184,60928
185,62953
186,65770
187,73510
188,61189
189,62737
190,70855
191,61117
192,63457
193,62125
194,66814
195,71296
196,62359
197,61000
198,63079
199,66670
200,72871
201,62413
202,59830
203,65860
204,60001
205,60712
206,62611
207,62836
208,70081
209,70225
210,68758
211,64258
212,59875
213,61036
214,72520
215,69298
216,60955
217,77911
218,63016
219,62791
220,59695
221,72718
222,59659
223,61567
224,62053
225,65950
226,62188
227,64285
228,65950
229,62098
230,70126
231,70072
232,60154
233,60937
234,62512
235,60802
236,60946
237,63781
238,72655
239,61054
240,61108
241,61675
242,60721
243,60784
244,69631
245,59686
246,59785
247,63124
248,70513
249,66238
250,60586
251,59938
252,62242
253,76714
254,65284
255,64681
256,61000
257,61756
258,66490
259,62593
260,63322
261,62989
262,72934
263,63331
264,67921
265,59938
266,60820
267,62206
268,65158
269,65851
270,67597
271,71566
272,74482
273,74842
274,60478
275,63754
276,62467
277,58966
278,62260
279,64393
280,59812
281,63286
282,59425
283,61207
284,65968
285,67012
286,66400
287,59533
288,64573
289,65113
290,61045
291,60253
292,61855
293,67570
294,66724
295,59767
296,63700
297,62116
298,60550
299,68902
300,62143
301,68587
302,76597
303,65887
304,60361
305,72547
306,61054
307,60037
308,68236
309,60361
310,59848
311,61594
312,61369
313,61009
314,60649
315,63052
316,59533
317,61099
318,61027
319,61054
320,60055
321,61225
322,64996
323,76588
324,60874
325,73213
326,74671
327,61729
328,62233
329,62935
330,60721
331,72763
332,64510
333,70927
334,62791
335,60217
336,65617
337,64285
338,76840
339,72007
