,0
0,72538
1,72538
2,72538
3,72538
4,72538
5,72538
6,72538
7,72538
8,72538
9,72538
10,72538
11,72538
12,72538
13,72538
14,72538
15,72538
16,72538
17,72538
18,72538
19,72538
20,72538
21,72538
22,72538
23,72538
24,72538
25,72538
26,72538
27,72538
28,72538
29,72538
30,72538
31,72538
32,72538
33,72538
34,72538
35,72538
36,72538
37,72538
38,72538
39,72538
40,72538
41,72538
42,72538
43,72538
44,72538
45,72538
46,72538
47,72538
48,72538
49,72538
50,72538
51,72538
52,72538
53,72538
54,72538
55,72538
56,72538
57,72538
58,72538
59,72538
60,72538
61,72538
62,72538
63,72538
64,72538
65,72538
66,72538
67,72538
68,72538
69,72538
70,72538
71,72538
72,72538
73,72538
74,72538
75,72538
76,72538
77,72538
78,72538
79,72538
80,72538
81,72538
82,72538
83,72538
84,72538
85,72538
86,72538
87,72538
88,72538
89,72538
90,72538
91,72538
92,72538
93,72538
94,72538
95,72538
96,72538
97,72538
98,72538
99,72538
100,72538
101,72538
102,72538
103,72538
104,72538
105,72538
106,72538
107,72538
108,72538
109,72538
110,72538
111,72538
112,72538
113,72538
114,72538
115,72538
116,72538
117,72538
118,72538
119,72538
120,72538
121,72538
122,72538
123,72538
124,72538
125,72538
126,72538
127,72538
128,72538
129,72538
130,72538
131,72538
132,72538
133,72538
134,72538
135,72538
136,72538
137,72538
138,72538
139,72538
140,72538
141,72538
142,72538
143,72538
144,72538
145,72538
146,72538
147,72538
148,72538
149,72538
150,72538
151,72538
152,72538
153,72538
154,72538
155,72538
156,72538
157,72538
158,72538
159,72538
160,72538
161,72538
162,72538
163,72538
164,72538
165,72538
166,72538
167,72538
168,72538
169,72538
170,72538
171,72538
172,72538
173,72538
174,72538
175,72538
176,72538
177,72538
178,72538
179,72538
180,72538
181,72538
182,72538
183,72538
184,72538
185,72538
186,72538
187,72538
188,72538
189,72538
190,72538
191,72538
192,72538
193,72538
194,72538
195,72538
196,72538
197,72538
198,72538
199,72538
200,72538
201,72538
202,72538
203,72538
204,72538
205,72538
206,72538
207,72538
208,72538
209,72538
210,72538
211,72538
212,72538
213,72538
214,72538
215,72538
216,72538
217,72538
218,72538
219,72538
220,72538
221,72538
222,72538
223,72538
224,72538
225,72538
226,72538
227,72538
228,72538
229,72538
230,72538
231,72538
232,72538
233,72538
234,72538
235,72538
236,72538
237,72538
238,72538
239,72538
240,72538
241,72538
242,72538
243,72538
244,72538
245,72538
246,72538
247,72538
248,72538
249,72538
250,72538
251,72538
252,72538
253,72538
254,72538
255,72538
256,72538
257,72538
258,72538
259,72538
260,72538
261,72538
262,72538
263,72538
264,72538
265,72538
266,72538
267,72538
268,72538
269,72538
270,72538
271,72538
