,0
0,114739
1,99727
2,135970
3,135376
4,109771
5,111850
6,126655
7,87532
8,123892
9,120580
10,112759
11,120220
12,104533
13,94876
14,168046
15,88918
16,101941
17,110545
18,130993
19,100339
20,135898
21,131902
22,103642
23,101329
24,117376
25,97054
26,120418
27,143539
28,85156
29,104227
30,136591
31,110950
32,163546
33,133189
34,138049
35,107206
36,123055
37,102562
38,128653
39,67813
40,84481
41,127627
42,96928
43,96352
44,81367
45,120472
46,101068
47,67876
48,116800
49,93922
50,104866
51,81169
52,154096
53,68110
54,93319
55,125305
56,132091
57,116746
58,110320
59,69658
60,111256
61,99187
62,123127
63,79342
64,96010
65,121579
66,94066
67,123019
68,78991
69,91879
70,97117
71,125035
72,97234
73,99376
74,94390
75,90781
76,111319
77,113542
78,99565
79,148831
80,114793
81,131218
82,115036
83,110563
84,125656
85,106018
86,102598
87,100483
88,82330
89,95902
90,101464
91,113263
92,132442
93,90160
94,93760
95,85651
96,129220
97,113119
98,103012
99,147544
100,92104
101,91249
102,121165
103,95434
104,125035
105,108862
106,71566
107,91537
108,90187
109,105406
110,137833
111,101464
112,119509
113,94480
114,116917
115,115720
116,168505
117,136240
118,117952
119,103201
120,114721
121,118375
122,97603
123,106810
124,163771
125,114937
126,116512
127,111490
128,80368
129,96226
130,124918
131,100258
132,114244
133,135007
134,130462
135,122299
136,100996
137,64069
138,93382
139,120805
140,101293
141,91078
142,128545
143,108088
144,99619
145,93877
146,120292
147,134296
148,79234
149,87271
150,111094
151,96037
152,101905
153,128275
154,93211
155,89215
156,147823
157,101860
158,95839
159,91114
160,90835
161,120805
162,97972
163,80674
164,68524
165,104218
166,101068
167,106801
168,98539
169,137365
170,100564
171,86164
172,109717
173,97378
174,130759
175,125161
176,109996
177,156931
178,86569
179,124459
180,108520
181,107035
182,117646
183,115009
184,98116
185,132262
186,127906
187,100195
188,83401
189,70495
190,126538
191,111013
192,108844
193,114091
194,124945
195,130318
196,95443
197,100555
198,119941
199,105856
200,101662
201,121552
202,137005
203,129517
204,127096
205,59263
206,76498
207,95848
208,87451
209,144700
210,109204
211,96946
212,107242
213,99664
214,87694
215,89989
216,93373
217,105604
