,0
0,60280
1,60280
2,60280
3,60280
4,60280
5,60280
6,60280
7,60280
8,60280
9,60280
10,60280
11,60280
12,60280
13,60280
14,60280
15,60280
16,60280
17,60280
18,60280
19,60280
20,60406
21,60406
22,60406
23,60406
24,60406
25,60406
26,60406
27,60406
28,60406
29,60406
30,60406
31,60406
32,60406
33,60406
34,60406
35,60406
36,60406
37,60460
38,60460
39,60154
40,60154
41,60154
42,60154
43,60154
44,60154
45,60154
46,60154
47,60154
48,60154
49,60154
50,60154
51,60154
52,60154
53,60154
54,60154
55,60154
56,60154
57,60154
58,60154
59,60154
60,60154
61,60154
62,60154
63,60154
64,60154
65,60154
66,60154
67,60154
68,60154
69,60154
70,60154
71,60154
72,60154
73,60154
74,60154
75,60154
76,60154
77,60154
78,60154
79,60154
80,60154
81,60154
82,60154
83,60154
84,60154
85,60010
86,60010
87,60010
88,60010
89,60010
90,60010
91,60010
92,60010
93,60010
94,60010
95,60010
96,60010
97,60010
98,60010
99,60010
100,60010
101,60010
102,60010
103,60010
104,60010
105,60010
106,60010
107,60010
108,60010
109,60010
110,60010
111,60010
112,60010
113,60010
114,59740
115,59740
116,59740
117,59740
118,59740
119,59740
120,59740
121,59740
122,59740
123,59740
124,59740
125,59740
126,59740
127,59722
128,59614
129,59614
130,59614
131,59614
132,59614
133,59614
134,59614
135,59614
136,59614
137,59614
138,59614
139,59614
140,59614
141,59614
142,59614
143,59614
144,59614
145,59614
146,59614
147,59614
148,59614
149,59614
150,59614
151,59614
152,59614
153,59614
154,59614
155,59614
156,59614
157,59614
158,59614
159,59614
160,59614
161,59614
162,59614
163,59614
164,59614
165,59614
166,59614
167,59614
168,59614
169,59614
170,59614
171,59614
172,59614
173,59614
174,59614
175,59614
176,59614
177,59614
178,59614
179,59614
180,59614
181,59614
182,59614
183,59614
184,59614
185,59614
186,59614
187,59614
188,59614
189,59614
190,59614
191,59614
192,59614
193,59614
194,59614
195,59614
196,59614
197,59614
198,59614
199,59614
200,59560
201,59560
202,59560
203,59560
204,59560
205,59560
206,59560
207,59560
208,59560
209,59560
210,59560
211,59560
212,59560
213,59560
214,59560
215,59524
216,59524
217,59524
218,59524
219,59524
220,59524
221,59542
